City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
228,Caravelas,BR,-17.7125,-39.2481,68.83,83,0,3.09,clear sky,2022-07-06 06:16:33
229,Itamarandiba,BR,-17.8572,-42.8589,54.12,98,9,2.8,clear sky,2022-07-06 06:16:34
230,Karratha,AU,-20.7377,116.8463,72.86,18,38,14.27,scattered clouds,2022-07-06 06:16:34
231,Ponta Do Sol,PT,32.6667,-17.1,68.63,72,26,5.28,scattered clouds,2022-07-06 06:16:35
232,Saskylakh,RU,71.9167,114.0833,57.34,54,83,2.35,broken clouds,2022-07-06 06:16:35
233,Itoman,JP,26.1247,127.6694,88.18,89,40,10.36,scattered clouds,2022-07-06 06:16:36
234,Pevek,RU,69.7008,170.3133,33.49,96,100,12.88,overcast clouds,2022-07-06 06:13:49
235,Muzhi,RU,65.3667,64.6667,68.58,57,33,3.53,scattered clouds,2022-07-06 06:16:37
236,Qeshm,IR,26.9581,56.2719,94.87,79,97,12.24,overcast clouds,2022-07-06 06:15:14
237,Sterling,US,39.0062,-77.4286,78.12,84,20,6.91,few clouds,2022-07-06 06:13:57
238,Menongue,AO,-14.6585,17.691,52.07,64,3,3.6,clear sky,2022-07-06 06:16:37
239,Pawai,IN,24.2667,80.1667,95.45,43,68,8.43,broken clouds,2022-07-06 06:16:38
240,Oga,IT,46.4631,10.347,60.8,74,8,5.46,clear sky,2022-07-06 06:16:38
241,Hamilton,US,39.1834,-84.5333,80.04,89,0,6.91,clear sky,2022-07-06 06:12:22
242,Verāval,IN,20.9,70.3667,80.44,89,100,11.41,moderate rain,2022-07-06 06:16:39
243,Lorengau,PG,-2.0226,147.2712,84.43,70,76,10.16,broken clouds,2022-07-06 06:16:39
244,Hithadhoo,MV,-0.6,73.0833,82.83,73,92,12.28,overcast clouds,2022-07-06 06:16:40
245,Mudgee,AU,-32.5943,149.5871,58.78,90,100,8.84,overcast clouds,2022-07-06 06:16:40
246,Kamennogorsk,RU,60.9545,29.1339,64.29,55,2,8.43,clear sky,2022-07-06 06:16:41
247,Artyom,AZ,40.4723,50.333,78.94,59,0,10.18,clear sky,2022-07-06 06:16:41
248,São João Da Barra,BR,-21.6403,-41.0511,66.65,83,0,9.93,clear sky,2022-07-06 06:16:41
249,Emba,KZ,48.8264,58.1442,66.58,44,77,16.8,broken clouds,2022-07-06 06:16:42
250,Havøysund,NO,70.9963,24.6622,55.63,82,57,24.4,light rain,2022-07-06 06:16:42
251,Catuday,PH,16.2923,119.8062,83.37,68,98,6.58,overcast clouds,2022-07-06 06:16:43
252,Walvis Bay,NA,-22.9575,14.5053,47.35,93,0,9.22,clear sky,2022-07-06 06:16:43
253,Richards Bay,ZA,-28.783,32.0377,67.08,74,29,13.73,scattered clouds,2022-07-06 06:16:44
254,Oistins,BB,13.0667,-59.5333,80.15,80,100,18.99,overcast clouds,2022-07-06 06:16:44
255,Gualeguay,AR,-33.1416,-59.3097,46.99,97,0,6.2,clear sky,2022-07-06 06:16:45
256,Rafai,CF,4.95,23.9167,70.83,84,81,1.5,broken clouds,2022-07-06 06:16:45
257,Baiyin,CN,36.5583,104.2081,90.93,13,0,4.12,clear sky,2022-07-06 06:16:45
258,Praia,CV,14.9215,-23.5087,75.74,83,20,13.8,few clouds,2022-07-06 06:16:46
259,Tabas,IR,33.5959,56.9244,93.11,17,0,5.37,clear sky,2022-07-06 06:16:46
